store;id;name;priceDate;price;isBudgetBrand;quantity;unit;isWeighted;isBio;isAvailable;url
billa;"00-307054";Clever  Maracuja Fruchtmolke;2023-04-29;0.85;true;500;ml;false;false;true;https://shop.billa.at/produkte/00-307054;
billa;"00-307054";Clever  Maracuja Fruchtmolke;2022-12-26;0.89;true;500;ml;false;false;true;https://shop.billa.at/produkte/00-307054;
billa;"00-307054";Clever  Maracuja Fruchtmolke;2022-06-20;0.79;true;500;ml;false;false;true;https://shop.billa.at/produkte/00-307054;
billa;"00-307054";Clever  Maracuja Fruchtmolke;2022-06-08;0.69;true;500;ml;false;false;true;https://shop.billa.at/produkte/00-307054;
billa;"00-307054";Clever  Maracuja Fruchtmolke;2022-06-02;0.79;true;500;ml;false;false;true;https://shop.billa.at/produkte/00-307054;
billa;"00-307054";Clever  Maracuja Fruchtmolke;2022-02-28;0.69;true;500;ml;false;false;true;https://shop.billa.at/produkte/00-307054;
billa;"00-307054";Clever  Maracuja Fruchtmolke;2020-01-30;0.65;true;500;ml;false;false;true;https://shop.billa.at/produkte/00-307054;
billa;"00-307054";Clever  Maracuja Fruchtmolke;2017-09-09;0.59;true;500;ml;false;false;true;https://shop.billa.at/produkte/00-307054;
billa;"00-307054";Clever  Maracuja Fruchtmolke;2017-06-01;0.49;true;500;ml;false;false;true;https://shop.billa.at/produkte/00-307054;
billa;"00-307054";Clever  Maracuja Fruchtmolke;2017-05-23;0.55;true;500;ml;false;false;true;https://shop.billa.at/produkte/00-307054;
billa;"00-307054";Clever  Maracuja Fruchtmolke;2017-04-05;0.59;true;500;ml;false;false;true;https://shop.billa.at/produkte/00-307054;
spar;"4466093";S-BUDGET Frucht-Molke Maracuja;2023-04-28;0.85;true;500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/4466093;
spar;"4466093";S-BUDGET Frucht-Molke Maracuja;2022-12-29;0.89;true;500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/4466093;
spar;"4466093";S-BUDGET Frucht-Molke Maracuja;2022-09-30;0.79;true;500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/4466093;
spar;"4466093";S-BUDGET Frucht-Molke Maracuja;2022-02-23;0.69;true;500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/4466093;
spar;"4466093";S-BUDGET Frucht-Molke Maracuja;2022-02-11;0.68;true;500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/4466093;
spar;"4466093";S-BUDGET Frucht-Molke Maracuja;2020-03-07;0.65;true;500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/4466093;
spar;"4466093";S-BUDGET Frucht-Molke Maracuja;2017-11-11;0.59;true;500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/4466093;
spar;"4466093";S-BUDGET Frucht-Molke Maracuja;2017-06-20;0.49;true;500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/4466093;
spar;"4466093";S-BUDGET Frucht-Molke Maracuja;2017-04-20;0.59;true;500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/4466093;
billa;"00-607024";Clever Aceto Balsamico die Modena;2022-01-24;1.29;true;500;ml;false;false;true;https://shop.billa.at/produkte/00-607024;
billa;"00-607024";Clever Aceto Balsamico die Modena;2018-01-11;1.19;true;500;ml;false;false;true;https://shop.billa.at/produkte/00-607024;
billa;"00-607024";Clever Aceto Balsamico die Modena;2017-04-05;0.99;true;500;ml;false;false;true;https://shop.billa.at/produkte/00-607024;
spar;"2020001082438";S-BUDGET Aceto Balsamico di Modena I. G. P.;2023-04-28;1.29;true;500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/2020001082438;
spar;"2020001082438";S-BUDGET Aceto Balsamico di Modena I. G. P.;2023-02-14;1.69;true;500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/2020001082438;
spar;"2020001082438";S-BUDGET Aceto Balsamico di Modena I. G. P.;2022-01-19;1.29;true;500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/2020001082438;
spar;"2020001082438";S-BUDGET Aceto Balsamico di Modena I. G. P.;2018-01-10;1.19;true;500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/2020001082438;
spar;"2020001082438";S-BUDGET Aceto Balsamico di Modena I. G. P.;2017-04-20;0.99;true;500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/2020001082438;
billa;"00-479352";Clever Ananas Scheiben in Ananassaft;2023-01-11;2.29;true;825;g;false;false;true;https://shop.billa.at/produkte/00-479352;
spar;"6602994";S-BUDGET Ananasscheiben;2022-09-30;2.29;true;825;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/6602994;
spar;"6602994";S-BUDGET Ananasscheiben;2022-04-06;2.19;true;825;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/6602994;
spar;"6602994";S-BUDGET Ananasscheiben;2020-07-01;1.89;true;825;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/6602994;
spar;"6602994";S-BUDGET Ananasscheiben;2018-10-24;1.59;true;825;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/6602994;
spar;"6602994";S-BUDGET Ananasscheiben;2017-11-11;1.69;true;825;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/6602994;
spar;"6602994";S-BUDGET Ananasscheiben;2017-04-20;1.68;true;825;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/6602994;
billa;"00-501108";Clever Apfelessig;2022-12-20;0.99;true;1000;ml;false;false;true;https://shop.billa.at/produkte/00-501108;
billa;"00-501108";Clever Apfelessig;2022-10-01;0.89;true;1000;ml;false;false;true;https://shop.billa.at/produkte/00-501108;
billa;"00-501108";Clever Apfelessig;2022-04-21;0.79;true;1000;ml;false;false;true;https://shop.billa.at/produkte/00-501108;
billa;"00-501108";Clever Apfelessig;2022-01-31;0.75;true;1000;ml;false;false;true;https://shop.billa.at/produkte/00-501108;
billa;"00-501108";Clever Apfelessig;2018-07-26;0.69;true;1000;ml;false;false;true;https://shop.billa.at/produkte/00-501108;
billa;"00-501108";Clever Apfelessig;2018-01-05;0.89;true;1000;ml;false;false;true;https://shop.billa.at/produkte/00-501108;
billa;"00-501108";Clever Apfelessig;2017-04-05;0.69;true;1000;ml;false;false;true;https://shop.billa.at/produkte/00-501108;
spar;"6481704";S-BUDGET Apfelessig;2022-12-21;0.99;true;1000;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/6481704;
spar;"6481704";S-BUDGET Apfelessig;2022-09-30;0.89;true;1000;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/6481704;
spar;"6481704";S-BUDGET Apfelessig;2022-02-16;0.75;true;1000;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/6481704;
spar;"6481704";S-BUDGET Apfelessig;2022-01-19;0.89;true;1000;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/6481704;
spar;"6481704";S-BUDGET Apfelessig;2018-08-08;0.69;true;1000;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/6481704;
spar;"6481704";S-BUDGET Apfelessig;2018-01-10;0.89;true;1000;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/6481704;
spar;"6481704";S-BUDGET Apfelessig;2017-04-20;0.69;true;1000;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/6481704;
billa;"00-447481";Clever Apfelmus ohne Zucker;2023-04-22;1.19;true;700;g;false;false;true;https://shop.billa.at/produkte/00-447481;
billa;"00-447481";Clever Apfelmus ohne Zucker;2022-11-03;1.09;true;700;g;false;false;true;https://shop.billa.at/produkte/00-447481;
billa;"00-447481";Clever Apfelmus ohne Zucker;2022-10-06;0.98;true;700;g;false;false;true;https://shop.billa.at/produkte/00-447481;
billa;"00-447481";Clever Apfelmus ohne Zucker;2022-04-01;0.99;true;700;g;false;false;true;https://shop.billa.at/produkte/00-447481;
spar;"2020001635306";S-BUDGET Apfelmus ungezuckert;2023-05-23;1.19;true;700;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/2020001635306;
spar;"2020001635306";S-BUDGET Apfelmus ungezuckert;2022-11-15;1.09;true;700;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/2020001635306;
spar;"2020001635306";S-BUDGET Apfelmus ungezuckert;2022-09-30;0.98;true;700;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/2020001635306;
spar;"2020001635306";S-BUDGET Apfelmus ungezuckert;2021-12-08;0.99;true;700;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/2020001635306;
spar;"2020001635306";S-BUDGET Apfelmus ungezuckert;2017-11-10;0.89;true;700;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/2020001635306;
spar;"2020001635306";S-BUDGET Apfelmus ungezuckert;2017-05-12;0.85;true;700;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/2020001635306;
spar;"2020001635306";S-BUDGET Apfelmus ungezuckert;2017-04-20;0.89;true;700;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/2020001635306;
billa;"00-857020";Clever Apfelnektar;2023-04-22;0.99;true;1500;ml;false;false;true;https://shop.billa.at/produkte/00-857020;
billa;"00-857020";Clever Apfelnektar;2023-03-02;0.95;true;1500;ml;false;false;true;https://shop.billa.at/produkte/00-857020;
billa;"00-857020";Clever Apfelnektar;2022-12-06;0.99;true;1500;ml;false;false;true;https://shop.billa.at/produkte/00-857020;
billa;"00-857020";Clever Apfelnektar;2022-09-19;0.89;true;1500;ml;false;false;true;https://shop.billa.at/produkte/00-857020;
billa;"00-857020";Clever Apfelnektar;2022-08-27;0.95;true;1500;ml;false;false;true;https://shop.billa.at/produkte/00-857020;
billa;"00-857020";Clever Apfelnektar;2022-03-22;0.89;true;1500;ml;false;false;true;https://shop.billa.at/produkte/00-857020;
billa;"00-857020";Clever Apfelnektar;2020-07-16;0.95;true;1500;ml;false;false;true;https://shop.billa.at/produkte/00-857020;
billa;"00-857020";Clever Apfelnektar;2017-12-07;0.85;true;1500;ml;false;false;true;https://shop.billa.at/produkte/00-857020;
billa;"00-857020";Clever Apfelnektar;2017-04-05;0.69;true;1500;ml;false;false;true;https://shop.billa.at/produkte/00-857020;
spar;"7354038";S-BUDGET Apfelnektar aus Apfelsaftkonzentrat, 50%;2023-05-05;0.99;true;1500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/7354038;
spar;"7354038";S-BUDGET Apfelnektar aus Apfelsaftkonzentrat, 50%;2023-02-14;0.95;true;1500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/7354038;
spar;"7354038";S-BUDGET Apfelnektar aus Apfelsaftkonzentrat, 50%;2022-12-06;0.99;true;1500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/7354038;
spar;"7354038";S-BUDGET Apfelnektar aus Apfelsaftkonzentrat, 50%;2022-02-08;0.89;true;1500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/7354038;
spar;"7354038";S-BUDGET Apfelnektar aus Apfelsaftkonzentrat, 50%;2020-01-22;0.95;true;1500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/7354038;
spar;"7354038";S-BUDGET Apfelnektar aus Apfelsaftkonzentrat, 50%;2017-12-12;0.85;true;1500;ml;false;false;true;https://www.interspar.at/shop/lebensmittel/p/7354038;
