store;id;name;priceDate;price;isBudgetBrand;quantity;unit;isWeighted;isBio;isAvailable;url
spar;"8799317032961";S-BUDGET Kartoffeln;2023-01-14;4.49;true;5000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799317032961;
spar;"8799317032961";S-BUDGET Kartoffeln;2022-12-03;3.99;true;5000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799317032961;
spar;"8799317032961";S-BUDGET Kartoffeln;2020-07-21;2.99;true;5000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799317032961;
spar;"8799317032961";S-BUDGET Kartoffeln;2020-07-13;3.69;true;5000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799317032961;
spar;"8799317032961";S-BUDGET Kartoffeln;2020-07-06;3.99;true;5000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799317032961;
spar;"8799317032961";S-BUDGET Kartoffeln;2020-03-07;2.99;true;5000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799317032961;
billa;"00-89536";Clever Erdäpfel festkochend aus Österreich;2023-05-15;4.49;true;5000;g;false;false;true;https://shop.billa.at/produkte/00-89536;
billa;"00-89536";Clever Erdäpfel festkochend aus Österreich;2020-03-07;2.99;true;5000;g;false;false;true;https://shop.billa.at/produkte/00-89536;
spar;"8800163332097";S-BUDGET Birnen Conference 1 KG;2023-04-15;2.19;true;1000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8800163332097;
spar;"8800163332097";S-BUDGET Birnen Conference 1 KG;2023-02-04;1.79;true;1000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8800163332097;
spar;"8800163332097";S-BUDGET Birnen Conference 1 KG;2023-01-21;1.49;true;1000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8800163332097;
spar;"8800163332097";S-BUDGET Birnen Conference 1 KG;2022-12-03;1.99;true;1000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8800163332097;
spar;"8800163332097";S-BUDGET Birnen Conference 1 KG;2020-07-06;2.29;true;1000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8800163332097;
spar;"8800163332097";S-BUDGET Birnen Conference 1 KG;2020-06-17;2.19;true;1000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8800163332097;
spar;"8800163332097";S-BUDGET Birnen Conference 1 KG;2020-06-04;1.99;true;1000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8800163332097;
spar;"8800163332097";S-BUDGET Birnen Conference 1 KG;2020-04-23;1.79;true;1000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8800163332097;
spar;"8800163332097";S-BUDGET Birnen Conference 1 KG;2020-03-07;1.59;true;1000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8800163332097;
billa;"00-89316";Clever Birnen aus Österreich / Italien / Spanien;2023-05-15;2.19;true;1000;g;false;false;true;https://shop.billa.at/produkte/00-89316;
billa;"00-89316";Clever Birnen aus Österreich / Italien / Spanien;2020-07-28;1.79;true;1000;g;false;false;true;https://shop.billa.at/produkte/00-89316;
billa;"00-89316";Clever Birnen aus Österreich / Italien / Spanien;2020-07-21;2.29;true;1000;g;false;false;true;https://shop.billa.at/produkte/00-89316;
billa;"00-89316";Clever Birnen aus Österreich / Italien / Spanien;2020-07-13;2.19;true;1000;g;false;false;true;https://shop.billa.at/produkte/00-89316;
billa;"00-89316";Clever Birnen aus Österreich / Italien / Spanien;2020-07-01;2.29;true;1000;g;false;false;true;https://shop.billa.at/produkte/00-89316;
billa;"00-89316";Clever Birnen aus Österreich / Italien / Spanien;2020-05-21;2.19;true;1000;g;false;false;true;https://shop.billa.at/produkte/00-89316;
billa;"00-89316";Clever Birnen aus Österreich / Italien / Spanien;2020-04-10;1.79;true;1000;g;false;false;true;https://shop.billa.at/produkte/00-89316;
billa;"00-89316";Clever Birnen aus Österreich / Italien / Spanien;2020-04-01;1.59;true;1000;g;false;false;true;https://shop.billa.at/produkte/00-89316;
billa;"00-89316";Clever Birnen aus Österreich / Italien / Spanien;2020-03-20;1.79;true;1000;g;false;false;true;https://shop.billa.at/produkte/00-89316;
billa;"00-89316";Clever Birnen aus Österreich / Italien / Spanien;2020-03-07;1.59;true;1000;g;false;false;true;https://shop.billa.at/produkte/00-89316;
spar;"8799971246081";S-BUDGET Apfel rot Gala 2 kg;2023-05-29;2.69;true;2000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799971246081;
spar;"8799971246081";S-BUDGET Apfel rot Gala 2 kg;2022-12-10;2.49;true;2000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799971246081;
spar;"8799971246081";S-BUDGET Apfel rot Gala 2 kg;2022-12-03;2.59;true;2000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799971246081;
spar;"8799971246081";S-BUDGET Apfel rot Gala 2 kg;2020-07-06;2.79;true;2000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799971246081;
spar;"8799971246081";S-BUDGET Apfel rot Gala 2 kg;2020-06-04;2.59;true;2000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799971246081;
spar;"8799971246081";S-BUDGET Apfel rot Gala 2 kg;2020-05-21;2.49;true;2000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799971246081;
spar;"8799971246081";S-BUDGET Apfel rot Gala 2 kg;2020-04-23;2.29;true;2000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799971246081;
spar;"8799971246081";S-BUDGET Apfel rot Gala 2 kg;2020-03-07;2.19;true;2000;g;false;false;true;https://www.interspar.at/shop/lebensmittel/p/8799971246081;
billa;"00-89280";Clever Apfel rot aus Österreich;2023-05-16;2.69;true;2000;g;false;false;true;https://shop.billa.at/produkte/00-89280;
